Local de nascimento,Norte,Norte %,"Nordeste	",Nordeste %,Sudeste,Sudeste %,Sul,Sul %,Centro-Oeste,Centro-Oeste %,
Norte,0,0,241556,"13,18",305595,"3,20",235799,"9,73",512323,"11,81",
Nordeste,1187167,"52,79",0,0,6792639,"71,08",522130,"21,56",1865363,"43,01",
Sudeste,372853,"16,57",1203698,"65,69",0,0,1191922,"49,21",1248306,"28,79",
Sul,218361,"9,71",110321,"6,02",1377350,"14,42",0,0,609363,"14,05",
Centro-Oeste,294467,"13,10",203150,"11,09",538023,"5,63",182280,"7,53",0,0,
Brasil sem especificacao,6018,"0,27",8391,"0,46",23314,"0,24",7209,"0,30",7405,"0,17",
Pais estrangeiro,164798,"7,33",54066,"2,95",489756,"5,13",273480,"11,29",81956,"1,89",
Sem Declaracao,5668,"0,25",10844,"0,59",31832,"0,33",9474,"0,39",10740,"0,25",
,,,,,,,,,,,
,,,,,,,,,,,
,,"
",,,,,,,,,
